date,TDC Denmark,Telenor/Sonofon,label
2019-02-27,0.05336748914710166,0.0,original
2019-02-28,2.546835737523142,0.3904462297176994,original
2019-03-01,2.6348226459988,0.4913901164370554,original
2019-03-02,2.3010208363171065,0.9039854044152431,original
2019-03-03,2.4877967669257446,0.6065657097227082,original
2019-03-04,2.027489355680454,0.25355760668373956,original
2019-03-05,1.9717098549825252,0.1614544536462867,original
2019-03-06,2.2027411970793427,0.7042317826544059,original
2019-03-07,2.576936797265786,0.6466518303666314,original
2019-03-08,2.5871266835876656,0.5164609578740237,original
2019-03-09,2.862792968547485,0.31743223280114236,original
2019-03-10,2.890472085416931,0.362932793215855,original
2019-03-11,2.4863165147876294,0.27239591256788626,original
2019-03-12,2.7544900546014963,0.7226805501653485,original
2019-03-13,2.484495560284216,0.49081424984600025,original
2019-03-14,2.9220246503137344,1.1200385019236303,original
2019-03-15,2.8380218271627937,0.4861859912209772,original
2019-03-16,1.9209863707888217,0.08777476061973166,original
2019-03-17,2.5815987753797787,0.4276602991212323,original
2019-03-18,1.7905848469919015,0.27501148327756486,original
2019-03-19,1.5176197315926785,0.2047961231851767,original
2019-03-20,2.049673511545073,0.3272917675205206,original
2019-03-21,1.830395328838357,0.6576237499724945,original
2019-03-22,2.4064176057461735,0.4353233179319813,original
2019-03-23,2.3962314129030062,0.5646765454661823,original
2019-03-24,2.4752209591665233,0.6144857925900542,original
2019-03-25,2.068690649871109,0.27480158798794196,original
2019-03-26,1.9862354043197648,0.1889875990646193,original
2019-03-27,2.2052879965612915,0.24387876277073656,original
2019-03-28,1.8126767014582637,0.40580241619331164,original
2019-03-29,2.245476993845714,0.27252601328457293,original
2019-03-30,1.8866668898614374,0.30166605653910367,original
2019-03-31,2.7895494964475533,0.5677114280460036,original
2019-04-01,1.041152975542581,0.0038811322677054037,original
2019-04-02,1.7601823748115881,0.2941216827632128,original
2019-04-03,2.0482917946257984,0.3812933870649258,original
2019-04-04,1.7591305128924066,0.6169741896461536,original
2019-04-05,2.340953426254624,0.5667926444209559,original
2019-04-06,1.5252587157621065,0.37625476978353684,original
2019-04-07,2.160540253103841,0.5039829475428493,original
2019-04-08,1.6209628090827093,0.30010502141052514,original
2019-04-09,1.9867986154076487,0.4121448424884589,original
2019-04-10,1.9989322288100928,0.4312365735561325,original
2019-04-11,2.3334754044011654,0.36357697690745017,original
2019-04-12,2.1387043201488947,0.3654034993636419,original
2019-04-13,1.4147430468799262,0.20782961556126833,original
2019-04-14,1.9338866806232353,0.4759257134618995,original
2019-04-15,2.0226686513266077,0.6273801864424725,original
2019-04-16,2.121962825610828,0.4124520513290878,original
2019-04-17,2.1096090581696236,0.4301076246473596,original
2019-04-18,1.5923970196712516,0.0,original
2019-04-19,1.6327266321156069,0.0,original
2019-04-20,2.0096289211800755,0.0,original
2019-04-21,1.3186564056567929,0.0,original
2019-04-22,1.8599741120581177,0.0,original
2019-04-23,2.215510894322802,0.36508797679471183,original
2019-04-24,1.5187336927588448,0.09211303916521085,original
2019-04-25,1.7242273552353307,0.026128181478527728,original
2019-04-26,1.4750703214958554,0.1157889120966566,original
2019-04-27,1.2648014206111744,0.07305844131760875,original
2019-04-28,1.4849522145241139,0.06666456680014803,original
2019-04-29,2.0986955897638016,0.16044142068307773,original
2019-04-30,2.2574525222693587,0.24340600034923104,original
2019-05-01,2.1793514979575903,0.17396022740536396,original
2019-05-02,1.8892327906925444,0.3095864777919934,original
2019-05-03,2.1794143590248853,0.2041410820529966,original
2019-05-04,1.3485327613024976,0.07499460600136562,original
2019-05-05,2.0575237827383357,0.14898625315181532,original
2019-05-06,1.7307348933302096,0.22404572927589256,original
2019-05-07,1.7499039864676718,0.21953301024106592,original
2019-05-08,1.5863992439401888,0.14058652309413608,original
2019-05-09,1.9917771663636452,0.09405863850047604,original
2019-05-10,2.240809903589268,0.24782006779512805,original
2019-05-11,1.7155211161713129,0.16299266172553148,original
2019-05-12,1.9393100765663018,0.16992770025244824,original
2019-05-13,1.9277141414791628,0.14242266929824374,original
2019-05-14,1.4698941584026965,0.031878183102761685,original
2019-05-15,1.2986827925139683,0.09545764291737811,original
2019-05-16,1.45474587172967,0.10823348660805344,original
2019-05-17,1.2307527684390818,0.10398005221676826,original
2019-05-18,1.1654167353451774,0.08692136377156949,original
2019-05-19,1.4278645655386486,0.09706368867485046,original
2019-05-20,1.55461658587803,0.08988465272861547,original
2019-05-21,1.3360102049883915,0.0832330364688192,original
2019-05-22,1.686891856469432,0.16126912050408826,original
2019-05-23,2.278080034997556,0.1486866437642306,original
2019-05-24,2.5684288077509208,0.3186901994869936,original
2019-05-25,1.970969682335208,0.18932179045200873,original
2019-05-26,2.359427564889163,0.35838847607806135,original
2019-05-27,2.4401068136551216,0.260390734676839,original
2019-05-28,1.9761466452405703,0.12776500237512795,original
2019-05-29,1.9235520581760481,0.14958573132384645,original
2019-05-30,2.2214932197907395,0.34277412069138147,original
2019-05-31,2.53391985627467,0.2600434403028999,original
2019-06-01,2.024883703926902,0.21691920897166686,original
2019-06-02,2.0975207493602426,0.3462243577540351,original
2019-06-03,2.261960576346083,0.384083350433705,original
2019-06-04,2.288372819285669,0.4572251845668697,original
2019-06-05,2.124408639264106,0.2330102191615218,original
2019-06-06,2.538238858701255,0.35685032496637087,original
2019-06-07,2.0073300769747915,0.22923907563490842,original
2019-06-08,1.912757334132853,0.2903113791733345,original
2019-06-09,1.7325122848279408,0.15568336102046695,original
2019-06-10,1.8616294339396633,0.18751697893817493,original
2019-06-11,1.8247738546676875,0.20396421111315638,original
