date,Base/KPN,Base/KPN BE,E-Plus,H3G,T-mobile/Telekom,T-mobile/Telekom DE,TDC Denmark,TDC Denmark DK,Tele2 Sverige AB,Telenor (Vodafone),Telenor/Sonofon,Telenor/Sonofon DK,Telia,Telia DK,Telia Mobile SE,Vodafone D2,Vodafone D2 DE
2019-02-27,,,,,,,0.05481720777849353,,,,,,,,,,
2019-02-28,,,,,,,11.7666427930817,,,,0.47764001367613673,,,,,,
2019-03-01,,,,,,,12.94083978018413,,,,0.6345869074575603,,,,,,
2019-03-02,,,,,,,8.98436966134856,,,,1.4694251837208867,,,,,,
2019-03-03,,,,,,,11.034731570631266,,,,0.8341216640546918,,,,,,
2019-03-04,,,,,,,6.594994073112805,,,,0.28860160941258073,,,,,,
2019-03-05,,,,,,,6.18294779335459,,,,0.1752189300023019,,,,,,
2019-03-06,,,,,,,8.049786778787771,,,,1.0222925278358161,,,,,,
2019-03-07,,,,,,,12.156774502558013,,,,0.9091379982419312,,,,,,
2019-03-08,,,,,,,12.291525923957428,,,,0.6760854041203856,,,,,,
2019-03-09,,,,,,,16.510364601388574,,,,0.37359615694731474,,,,,,
2019-03-10,,,,,,,17.00180598596732,,,,0.43753924360498786,,,,,,
2019-03-11,,,,,,,11.016930311918259,,,,0.3131067738868296,,,,,,
2019-03-12,,,,,,,14.713026074071726,,,,1.059947609435767,,,,,,
2019-03-13,,,,,,,10.995067939783135,,,,0.6336458744481206,,,,,,
2019-03-14,,,,,,,17.578865111184616,,,,2.0649722083471715,,,,,,
2019-03-15,,,,,,,16.081941061032314,,,,0.6261024088598788,,,,,,
2019-03-16,,,,,,,5.827689782716334,,,,0.09174219099804755,,,,,,
2019-03-17,,,,,,,12.218254294712096,,,,0.5336650051176548,,,,,,
2019-03-18,,,,,,,4.992956404175077,,,,0.31654579304158686,,,,,,
2019-03-19,,,,,,,3.5613550140655468,,,,0.2272748265725871,,,,,,
2019-03-20,,,,,,,6.765365390240082,,,,0.387206159842511,,,,,,
2019-03-21,,,,,,,5.236351580891226,,,,0.9302002422045916,,,,,,
2019-03-22,,,,,,,10.09414626551526,,,,0.5454626539722085,,,,,,
2019-03-23,,,,,,,9.981712759073291,,,,0.7588787733887633,,,,,,
2019-03-24,,,,,,,10.884332775271362,,,,0.8487057369202375,,,,,,
2019-03-25,,,,,,,6.914453539864293,,,,0.3162694852799177,,,,,,
2019-03-26,,,,,,,6.288045509053128,,,,0.20802597173800072,,,,,,
2019-03-27,,,,,,,8.072864145306605,,,,0.27618959941901267,,,,,,
2019-03-28,,,,,,,5.126825185182194,,,,0.5005060474698743,,,,,,
2019-03-29,,,,,,,8.444919650708991,,,,0.3132776211326321,,,,,,
2019-03-30,,,,,,,5.5973423247092535,,,,0.3521096231415868,,,,,,
2019-03-31,,,,,,,15.273686796426773,,,,0.7642248722258955,,,,,,
2019-04-01,,,,,,,1.8324809136101976,,,,0.00388867361471055,,,,,,
2019-04-02,,,,,,,4.813497533245633,,,,0.3419471855740994,,,,,,
2019-04-03,,,,,,,6.754643262674411,,,,0.46417711302638054,,,,,,
2019-04-04,,,,,,,4.807385751511902,,,,0.8533117792879542,,,,,,
2019-04-05,,,,,,,9.391139026110372,,,,0.7626046757213771,,,,,,
2019-04-06,,,,,,,3.5963325591757895,,,,0.4568182397633791,,,,,,
2019-04-07,,,,,,,7.6758235331624745,,,,0.6553011359646916,,,,,,
2019-04-08,,,,,,,4.057957820678976,,,,0.35000057909637683,,,,,,
2019-04-09,,,,,,,6.292151373218406,,,,0.5100531403440982,,,,,,
2019-04-10,,,,,,,6.381170488470658,,,,0.539159631356597,,,,,,
